2023-03-29 07:32:25,869 RoidedHolehe initialised!
2023-03-29 07:35:39,982 RoidedHolehe initialised!
2023-03-29 07:35:46,593 ('\x1b[31mError reading the file in\x1b[37mlkis.xlsx', FileNotFoundError(2, 'No such file or directory'))
2023-03-29 07:38:00,229 RoidedHolehe initialised!
2023-03-29 07:38:46,276 RoidedHolehe initialised!
2023-03-29 07:38:50,062 ('Error reading the file indsad.xlsx', FileNotFoundError(2, 'No such file or directory'))
2023-03-29 07:41:56,894 RoidedHolehe initialised!
2023-03-29 07:42:02,514 ('Error reading the file in lkds.xlsx', FileNotFoundError(2, 'No such file or directory'))
2023-03-29 07:42:56,893 list index out of range
2023-03-29 07:45:06,026 RoidedHolehe initialised!
2023-03-29 07:45:17,005 unsupported operand type(s) for &: 'bool' and 'str'
2023-03-29 07:46:13,199 RoidedHolehe initialised!
2023-03-29 07:46:24,963 '<=' not supported between instances of 'str' and 'int'
2023-03-29 07:49:04,279 RoidedHolehe initialised!
2023-03-29 07:50:49,983 HTTP Request: POST https://api.hubspot.com/login-api/v1/login "HTTP/1.1 483 "
2023-03-29 07:50:50,211 HTTP Request: POST https://api.hubspot.com/login-api/v1/login "HTTP/1.1 429 Too Many Requests"
2023-03-29 07:50:50,436 HTTP Request: POST https://api.hubspot.com/login-api/v1/login "HTTP/1.1 429 Too Many Requests"
2023-03-29 07:50:50,659 HTTP Request: POST https://api.hubspot.com/login-api/v1/login "HTTP/1.1 429 Too Many Requests"
2023-03-29 07:52:27,128 RoidedHolehe closed!
2023-03-29 07:57:04,598 RoidedHolehe initialised!
2023-03-29 07:57:24,280 ('Error reading the file in C:/Downloads/test.xlsx', FileNotFoundError(2, 'No such file or directory'))
2023-03-29 07:58:01,007 HTTP Request: POST https://api.hubspot.com/login-api/v1/login "HTTP/1.1 483 "
2023-03-29 07:58:01,091 HTTP Request: POST https://api.hubspot.com/login-api/v1/login "HTTP/1.1 429 Too Many Requests"
2023-03-29 07:58:01,292 HTTP Request: POST https://api.hubspot.com/login-api/v1/login "HTTP/1.1 429 Too Many Requests"
2023-03-29 07:58:01,375 HTTP Request: POST https://api.hubspot.com/login-api/v1/login "HTTP/1.1 429 Too Many Requests"
2023-03-29 08:00:56,172 RoidedHolehe closed!
2023-03-29 08:00:58,695 RoidedHolehe initialised!
2023-03-29 08:02:38,365 RoidedHolehe closed!
2023-03-29 08:03:29,894 RoidedHolehe initialised!
2023-03-29 08:04:03,113 RoidedHolehe closed!
2023-03-29 08:17:24,503 RoidedHolehe initialised!
2023-03-29 08:17:59,757 HTTP Request: POST https://api.hubspot.com/login-api/v1/login "HTTP/1.1 400 Bad Request"
2023-03-29 08:18:00,318 HTTP Request: POST https://api.hubspot.com/login-api/v1/login "HTTP/1.1 400 Bad Request"
2023-03-29 08:18:01,624 HTTP Request: POST https://api.hubspot.com/login-api/v1/login "HTTP/1.1 400 Bad Request"
2023-03-29 08:18:02,126 HTTP Request: POST https://api.hubspot.com/login-api/v1/login "HTTP/1.1 400 Bad Request"
2023-03-29 08:18:03,375 HTTP Request: POST https://www.amocrm.com/account/check_login.php "HTTP/1.1 301 Moved Permanently"
2023-03-29 08:18:04,426 HTTP Request: POST https://www.amocrm.com/account/check_login.php "HTTP/1.1 301 Moved Permanently"
2023-03-29 08:18:05,556 HTTP Request: POST https://www.amocrm.com/account/check_login.php "HTTP/1.1 301 Moved Permanently"
2023-03-29 08:18:06,619 HTTP Request: POST https://www.amocrm.com/account/check_login.php "HTTP/1.1 301 Moved Permanently"
2023-03-29 08:18:07,980 HTTP Request: GET https://axonaut.com/onboarding/?email=dsad@gmail.com "HTTP/1.1 200 OK"
2023-03-29 08:18:08,837 HTTP Request: GET https://axonaut.com/onboarding/?email=wefsd@gdas.com "HTTP/1.1 200 OK"
2023-03-29 08:18:10,045 HTTP Request: GET https://axonaut.com/onboarding/?email=dsawqe@gmail.com "HTTP/1.1 200 OK"
2023-03-29 08:18:10,968 HTTP Request: GET https://axonaut.com/onboarding/?email=dfafs@yahoo.com "HTTP/1.1 200 OK"
2023-03-29 08:18:12,465 HTTP Request: POST https://accounts.insightly.com/signup/isemailvalid "HTTP/1.1 200 OK"
2023-03-29 08:18:13,784 HTTP Request: POST https://accounts.insightly.com/signup/isemailvalid "HTTP/1.1 200 OK"
2023-03-29 08:18:15,115 HTTP Request: POST https://accounts.insightly.com/signup/isemailvalid "HTTP/1.1 200 OK"
2023-03-29 08:18:16,442 HTTP Request: POST https://accounts.insightly.com/signup/isemailvalid "HTTP/1.1 200 OK"
2023-03-29 08:18:17,744 HTTP Request: GET https://www.nimble.com/lib/register.php?email=dsad@gmail.com "HTTP/1.1 200 OK"
2023-03-29 08:18:18,910 HTTP Request: GET https://www.nimble.com/lib/register.php?email=wefsd@gdas.com "HTTP/1.1 200 OK"
2023-03-29 08:18:19,885 HTTP Request: GET https://www.nimble.com/lib/register.php?email=dsawqe@gmail.com "HTTP/1.1 200 OK"
2023-03-29 08:18:20,364 HTTP Request: GET https://www.nimble.com/lib/register.php?email=dfafs@yahoo.com "HTTP/1.1 200 OK"
2023-03-29 08:18:21,735 HTTP Request: POST https://app.nutshell.com/auth "HTTP/1.1 200 OK"
2023-03-29 08:18:22,804 HTTP Request: POST https://app.nutshell.com/auth "HTTP/1.1 200 OK"
2023-03-29 08:18:23,946 HTTP Request: POST https://app.nutshell.com/auth "HTTP/1.1 200 OK"
2023-03-29 08:18:25,135 HTTP Request: POST https://app.nutshell.com/auth "HTTP/1.1 200 OK"
2023-03-29 08:18:26,742 HTTP Request: GET https://register.nocrm.io/register/check_trial_duplicate?email=dsad@gmail.com "HTTP/1.1 200 OK"
2023-03-29 08:18:27,962 HTTP Request: GET https://register.nocrm.io/register/check_trial_duplicate?email=wefsd@gdas.com "HTTP/1.1 200 OK"
